path,length,format,width,height,iscubemap,mipmapcount,regioncount,glyphgroupcount
textures/10_2_0_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_0_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_0_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/10_2_1.aei,16409,Rgba8,64,64,False,1,1,0
textures/10_2_1_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_1_ipad_1440.aei,65561,Rgba8,128,128,False,1,1,0
textures/10_2_1_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/10_2_2.aei,8217,Rgba8,64,32,False,1,1,0
textures/10_2_2_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_2_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_2_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/10_2_3.aei,8217,Rgba8,64,32,False,1,1,0
textures/10_2_3_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_3_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_3_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/10_2_4.aei,8217,Rgba8,64,32,False,1,1,0
textures/10_2_4_ipad.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_4_ipad_1440.aei,32793,Rgba8,128,64,False,1,1,0
textures/10_2_4_ipad_large.aei,131097,Rgba8,256,128,False,1,1,0
textures/10_3_0.aei,32793,Rgba8,64,128,False,1,1,0
textures/10_3_0_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/10_3_0_ipad_1440.aei,131097,Rgba8,128,256,False,1,1,0
textures/10_3_0_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/10_3_1.aei,32793,Rgba8,64,128,False,1,1,0
textures/10_3_1_ipad.aei,65561,Rgba8,128,128,False,1,1,0
textures/10_3_1_ipad_1440.aei,131097,Rgba8,128,256,False,1,1,0
textures/10_3_1_ipad_large.aei,262169,Rgba8,256,256,False,1,1,0
textures/10_3_2.aei,16409,Rgba8,64,64,False,1,1,0
